timestamp,weighted_total,traffic_status,average_speed,congestion_level,traffic_flow_efficiency,average_waiting_time,incident_detection_time,fuel_consumption_index,co2_emissions_index,system_uptime,user_satisfaction_score,vehicle_car_count,vehicle_motorcycle_count,vehicle_bus_count,vehicle_truck_count,vehicle_bicycle_count,lane_0_occupancy,lane_1_occupancy,lane_2_occupancy,lane_3_occupancy
2025-07-16T10:33:41.754705,3.5,Low Traffic,0,11.67,0,0,0,150.0,142.5,100.0,49.2,3,1,0,0,0,22.22,38.89,27.78,11.11
2025-07-16T10:33:49.820026,8.0,Low Traffic,6.8,26.67,7.7,0,0,144.15,136.94,100.0,54.33,7,2,0,0,0,11.11,38.89,27.78,22.22
2025-07-16T10:33:57.965517,12.5,Normal Traffic,7.47,41.67,8.15,0,0,137.93,131.03,100.0,58.23,6,7,0,1,0,33.33,50.0,8.33,8.33
2025-07-16T10:34:06.009337,10.5,Normal Traffic,4.56,35.0,5.47,1.42,0,146.26,138.95,100.0,51.54,8,5,0,0,0,26.32,42.11,21.05,10.53
2025-07-16T10:34:14.014430,10.0,Low Traffic,7.32,33.33,8.3,0,0,143.85,136.66,100.0,54.73,9,2,0,0,0,33.33,38.89,16.67,11.11
2025-07-16T10:34:22.277810,8.5,Low Traffic,4.33,28.33,5.2,0,0,145.4,138.13,100.0,52.67,8,1,0,0,0,27.78,38.89,22.22,11.11
2025-07-16T10:34:30.317607,12.0,Normal Traffic,5.32,40.0,6.73,2.58,0,145.63,138.35,100.0,51.8,8,2,1,0,0,21.05,47.37,15.79,15.79
2025-07-16T10:34:37.422113,12.0,Normal Traffic,7.75,40.0,10.85,0,0,138.57,131.64,100.0,58.84,7,4,1,0,0,7.14,50.0,28.57,14.29
2025-07-16T11:45:34.322089,3.5,Low Traffic,0,11.67,0,0,0,150.0,142.5,100.0,49.2,3,1,0,0,0,22.22,38.89,27.78,11.11
2025-07-16T11:45:42.385193,8.0,Low Traffic,5.93,26.67,7.12,0,0,145.44,138.17,100.0,53.35,6,4,0,0,0,15.79,47.37,21.05,15.79
2025-07-16T11:45:50.506427,11.5,Normal Traffic,6.56,38.33,6.56,0,0,141.72,134.63,100.0,55.37,5,7,0,1,0,33.33,46.67,0,20.0
2025-07-16T11:45:58.518690,11.5,Normal Traffic,4.96,38.33,6.48,3.81,0,143.76,136.57,100.0,52.22,9,5,0,0,0,29.41,35.29,23.53,11.76
2025-07-16T11:46:06.721813,10.5,Normal Traffic,7.06,35.0,7.48,0,0,144.26,137.05,100.0,54.19,10,1,0,0,0,33.33,33.33,22.22,11.11
2025-07-16T11:46:14.212171,9.5,Low Traffic,4.15,31.67,5.99,0,0,142.0,134.9,100.0,54.99,7,5,0,0,0,20.0,46.67,26.67,6.67
2025-07-16T11:46:50.864841,10.0,Low Traffic,0,33.33,0,0,0,150.0,142.5,100.0,49.2,3,2,1,1,0,22.22,38.89,27.78,11.11
2025-07-16T11:46:58.871673,14.0,Normal Traffic,6.16,46.67,6.89,0,0,145.56,138.28,100.0,53.19,6,4,1,1,0,10.53,52.63,21.05,15.79
2025-07-16T11:47:07.066328,14.0,Normal Traffic,5.56,46.67,5.56,0,0,143.22,136.06,100.0,54.11,8,6,0,1,0,31.25,43.75,6.25,18.75
2025-07-16T11:47:15.111211,13.5,Normal Traffic,3.26,45.0,4.62,5.52,0,144.69,137.46,100.0,50.12,6,9,1,0,0,11.76,47.06,23.53,17.65
2025-07-16T11:47:23.376021,11.5,Normal Traffic,4.8,38.33,6.27,0,0,144.86,137.62,100.0,53.38,6,5,1,0,0,44.44,38.89,5.56,11.11
2025-07-16T11:47:31.526773,9.5,Low Traffic,3.52,31.67,5.28,0,0,145.36,138.09,100.0,52.72,5,3,1,0,0,33.33,38.89,22.22,5.56
2025-07-16T11:47:39.573753,9.5,Low Traffic,6.46,31.67,7.6,0,0,146.2,138.89,100.0,53.07,6,7,0,0,0,25.0,35.0,25.0,15.0
2025-07-16T11:47:45.561808,7.0,Low Traffic,7.55,23.33,10.57,0,0,138.72,131.78,100.0,58.64,3,8,0,0,0,7.14,50.0,28.57,14.29
